A/C,RH_UT,NORMAL,RH,OT,UT,RH_O,UT_O
housedust MR,0.135714286,0.085714286,0.196428571,0.103571429,0.242857143,0.128571429,0.107142857
housedust NR,0.158536585,0.06097561,0.12195122,0.243902439,0.280487805,0.085365854,0.048780488
housedust LR,0.043956044,0.065934066,0.21978022,0.164835165,0.241758242,0.087912088,0.175824176
housedust HR,0.154676259,0.050359712,0.208633094,0.165467626,0.179856115,0.122302158,0.118705036
cottondust HR,0.206349206,0.055555556,0.142857143,0.111111111,0.206349206,0.071428571,0.206349206
cottondust KR,0,0,1,0,0,0,0
cottondust MR,0.15648855,0.061068702,0.187022901,0.164122137,0.209923664,0.148854962,0.072519084
cottondust LR,0.118055556,0.104166667,0.194444444,0.104166667,0.270833333,0.083333333,0.125
cottondust NR,0.070707071,0.055555556,0.237373737,0.191919192,0.217171717,0.126262626,0.101010101
aspergilus HR,0.15,0.04375,0.18125,0.2125,0.1875,0.13125,0.09375
aspergilus KR,0,0.166666667,0.5,0.166666667,0,0,0.166666667
aspergilus MR,0.203463203,0.069264069,0.207792208,0.116883117,0.19047619,0.090909091,0.121212121
aspergilus LR,0.071428571,0.063492063,0.198412698,0.174603175,0.277777778,0.095238095,0.119047619
aspergilus NR,0.086538462,0.081730769,0.182692308,0.125,0.259615385,0.149038462,0.115384615
pollen HR,0.181132075,0.052830189,0.177358491,0.139622642,0.19245283,0.143396226,0.113207547
pollen KR,0.25,0,0.25,0.5,0,0,0
pollen MR,0.133116883,0.064935065,0.175324675,0.162337662,0.243506494,0.107142857,0.113636364
pollen LR,0.06185567,0.103092784,0.288659794,0.051546392,0.257731959,0.103092784,0.134020619
pollen NR,0.035087719,0.087719298,0.228070175,0.280701754,0.210526316,0.070175439,0.087719298
parthenium HR,0.153439153,0.063492063,0.177248677,0.156084656,0.21957672,0.113756614,0.116402116
parthenium KR,0,0,0,1,0,0,0
parthenium MR,0.099616858,0.068965517,0.218390805,0.134099617,0.237547893,0.126436782,0.114942529
parthenium LR,0.122807018,0.105263158,0.245614035,0.175438596,0.175438596,0.070175439,0.105263158
parthenium NR,0.212121212,0.03030303,0.151515152,0.121212121,0.242424242,0.151515152,0.090909091
coc kroach HR,0.144117647,0.1,0.185294118,0.129411765,0.197058824,0.117647059,0.126470588
coc kroach KR,0,0,0.2,0.6,0.2,0,0
coc kroach MR,0.116591928,0.049327354,0.242152466,0.170403587,0.224215247,0.098654709,0.098654709
coc kroach LR,0.210526316,0.021052632,0.147368421,0.147368421,0.252631579,0.147368421,0.073684211
coc kroach NR,0.044117647,0.029411765,0.161764706,0.161764706,0.308823529,0.132352941,0.161764706
catdander HR,0,0,0,0,0.666666667,0.333333333,0
catdander KR,0.131964809,0.06744868,0.19941349,0.152492669,0.221407625,0.114369501,0.112903226
catdander MR,0.333333333,0,0.333333333,0,0.333333333,0,0
catdander LR,0.333333333,0,0.111111111,0.333333333,0.111111111,0.111111111,0
catdander NR,0.117647059,0.088235294,0.147058824,0.088235294,0.235294118,0.147058824,0.176470588
dosfur HR,0.444444444,0.111111111,0,0.111111111,0.222222222,0,0.111111111
dosfur KR,0.125588697,0.069073783,0.202511774,0.153846154,0.224489796,0.113029827,0.111459969
dosfur MR,0.125,0.041666667,0.125,0.166666667,0.25,0.25,0.041666667
dosfur LR,0.212121212,0.060606061,0.181818182,0.060606061,0.090909091,0.151515152,0.242424242
dosfur NR,0.142857143,0.035714286,0.178571429,0.178571429,0.321428571,0.071428571,0.071428571
roaddust HR,0,0,0,0,0.75,0.25,0
