A/C,OT,RH,UT,NORMAL,RH_O,RH_UT,UT_O
housedust MR,0.107913669,0.147482014,0.176258993,0.172661871,0.151079137,0.118705036,0.125899281
housedust HR,0.147601476,0.147601476,0.103321033,0.114391144,0.136531365,0.191881919,0.158671587
housedust LR,0.150537634,0.161290323,0.139784946,0.139784946,0.11827957,0.075268817,0.215053763
housedust NR,0.243589744,0.08974359,0.166666667,0.128205128,0.166666667,0.141025641,0.064102564
cottondust LR,0.107913669,0.122302158,0.165467626,0.208633094,0.100719424,0.129496403,0.165467626
cottondust MR,0.16,0.144,0.12,0.144,0.168,0.172,0.092
cottondust KR,0,0.5,0.5,0,0,0,0
cottondust NR,0.179104478,0.189054726,0.15920398,0.109452736,0.174129353,0.07960199,0.109452736
cottondust HR,0.09375,0.0859375,0.1328125,0.1171875,0.09375,0.203125,0.2734375
aspergilus MR,0.103004292,0.137339056,0.124463519,0.163090129,0.115879828,0.21888412,0.137339056
aspergilus LR,0.161538462,0.161538462,0.192307692,0.130769231,0.123076923,0.069230769,0.161538462
aspergilus KR,0.111111111,0.333333333,0.111111111,0.333333333,0,0,0.111111111
aspergilus NR,0.131979695,0.131979695,0.16751269,0.152284264,0.182741117,0.091370558,0.14213198
aspergilus HR,0.205298013,0.139072848,0.099337748,0.092715232,0.158940397,0.165562914,0.139072848
pollen MR,0.159863946,0.149659864,0.146258503,0.132653061,0.146258503,0.12585034,0.139455782
pollen LR,0.052083333,0.197916667,0.15625,0.208333333,0.145833333,0.072916667,0.166666667
pollen KR,0.333333333,0.166666667,0,0,0,0.5,0
pollen NR,0.294117647,0.137254902,0.156862745,0.156862745,0.156862745,0.019607843,0.078431373
pollen HR,0.124542125,0.117216117,0.135531136,0.128205128,0.139194139,0.201465201,0.153846154
parthenium LR,0.181818182,0.181818182,0.127272727,0.236363636,0.054545455,0.145454545,0.072727273
parthenium MR,0.125984252,0.153543307,0.173228346,0.12992126,0.173228346,0.094488189,0.149606299
parthenium KR,1,0,0,0,0,0,0
parthenium NR,0.135135135,0.108108108,0.108108108,0.081081081,0.216216216,0.189189189,0.162162162
parthenium HR,0.14516129,0.134408602,0.129032258,0.142473118,0.129032258,0.172043011,0.147849462
coc kroach MR,0.162895928,0.167420814,0.14479638,0.126696833,0.14479638,0.108597285,0.14479638
coc kroach LR,0.189189189,0.121621622,0.121621622,0.054054054,0.121621622,0.27027027,0.121621622
coc kroach KR,0.4,0.2,0.4,0,0,0,0
coc kroach NR,0.178082192,0.136986301,0.205479452,0.04109589,0.178082192,0.04109589,0.219178082
