A/C,OT,UT,RH_O,NORMAL,UT_O,RH,RH_UT
housedust HR,0.187739464,0.206896552,0.103448276,0.057471264,0.08045977,0.256704981,0.107279693
housedust MR,0.135231317,0.288256228,0.09252669,0.117437722,0.06405694,0.227758007,0.074733096
housedust NR,0.302325581,0.325581395,0.081395349,0.069767442,0.023255814,0.127906977,0.069767442
housedust LR,0.265306122,0.204081633,0.06122449,0.081632653,0.112244898,0.244897959,0.030612245
cottondust HR,0.140350877,0.254385965,0.078947368,0.087719298,0.149122807,0.166666667,0.122807018
cottondust KR,0,0,0,0,0,1,0
cottondust NR,0.251231527,0.231527094,0.103448276,0.049261084,0.054187192,0.266009852,0.044334975
cottondust LR,0.125,0.305555556,0.069444444,0.138888889,0.076388889,0.215277778,0.069444444
cottondust MR,0.204545455,0.238636364,0.098484848,0.083333333,0.049242424,0.231060606,0.09469697
aspergilus HR,0.27607362,0.202453988,0.104294479,0.073619632,0.055214724,0.202453988,0.085889571
aspergilus KR,0.166666667,0,0,0.166666667,0.166666667,0.5,0
aspergilus NR,0.175609756,0.27804878,0.102439024,0.087804878,0.073170732,0.229268293,0.053658537
aspergilus LR,0.186046512,0.325581395,0.07751938,0.085271318,0.07751938,0.201550388,0.046511628
aspergilus MR,0.147982063,0.228699552,0.080717489,0.089686099,0.076233184,0.255605381,0.121076233
pollen HR,0.182879377,0.221789883,0.101167315,0.089494163,0.081712062,0.214007782,0.108949416
pollen KR,0.6,0,0,0,0,0.2,0.2
pollen NR,0.310344828,0.24137931,0.068965517,0.103448276,0.034482759,0.224137931,0.017241379
pollen LR,0.058823529,0.274509804,0.088235294,0.117647059,0.078431373,0.333333333,0.049019608
pollen MR,0.213815789,0.276315789,0.088815789,0.069078947,0.069078947,0.207236842,0.075657895
parthenium HR,0.212765957,0.255319149,0.087765957,0.07712766,0.071808511,0.20212766,0.093085106
parthenium KR,1,0,0,0,0,0,0
parthenium NR,0.117647059,0.264705882,0.147058824,0.029411765,0.088235294,0.264705882,0.088235294
parthenium LR,0.178571429,0.214285714,0.035714286,0.142857143,0.035714286,0.321428571,0.071428571
parthenium MR,0.163424125,0.256809339,0.101167315,0.093385214,0.077821012,0.245136187,0.062256809
coc kroach HR,0.147590361,0.231927711,0.09939759,0.126506024,0.078313253,0.219879518,0.096385542
coc kroach KR,0.571428571,0.142857143,0,0,0,0.285714286,0
coc kroach NR,0.267605634,0.23943662,0.112676056,0.056338028,0.098591549,0.197183099,0.028169014
coc kroach LR,0.192771084,0.301204819,0.096385542,0.036144578,0.060240964,0.192771084,0.120481928
coc kroach MR,0.21888412,0.270386266,0.072961373,0.055793991,0.060085837,0.261802575,0.060085837
catdander HR,0,0.666666667,0.333333333,0,0,0,0
catdander KR,0.195555556,0.25037037,0.087407407,0.087407407,0.06962963,0.232592593,0.077037037
catdander NR,0.111111111,0.277777778,0.138888889,0.083333333,0.138888889,0.166666667,0.083333333
catdander LR,0.375,0.125,0.125,0,0,0.125,0.25
catdander MR,0,0.25,0,0,0,0.5,0.25
dosfur HR,0.25,0.25,0,0.125,0.125,0,0.25
dosfur KR,0.196850394,0.250393701,0.086614173,0.088188976,0.067716535,0.237795276,0.072440945
dosfur NR,0.185185185,0.37037037,0.074074074,0.037037037,0.037037037,0.222222222,0.074074074
dosfur LR,0.066666667,0.133333333,0.133333333,0.066666667,0.2,0.2,0.2
dosfur MR,0.192307692,0.307692308,0.192307692,0.076923077,0.038461538,0.115384615,0.076923077
roaddust HR,0,0.8,0.2,0,0,0,0
roaddust KR,0.079545455,0.125,0.090909091,0.375,0.102272727,0.181818182,0.045454545
roaddust NR,0.21969697,0.267045455,0.085227273,0.041666667,0.0625,0.238636364,0.085227273
roaddust LR,0.169230769,0.246153846,0.107692308,0.107692308,0.092307692,0.184615385,0.092307692
roaddust MR,0.125,0.275,0.125,0,0.1,0.3,0.075
oldpdust HR,0.25,0.5,0,0,0,0,0.25
oldpdust KR,0.188679245,0.238993711,0.091194969,0.092767296,0.06918239,0.240566038,0.078616352
oldpdust NR,0.206896552,0.344827586,0.051724138,0.017241379,0.103448276,0.206896552,0.068965517
oldpdust LR,0.285714286,0.333333333,0.095238095,0.095238095,0.095238095,0.047619048,0.047619048
oldpdust MR,0,0.285714286,0.428571429,0,0,0,0.285714286
PSdust HR,0,0.375,0.125,0,0,0.375,0.125
PSdust KR,0.169064748,0.237410072,0.09352518,0.129496403,0.053956835,0.248201439,0.068345324
PSdust NR,0.185185185,0.24691358,0.104938272,0.067901235,0.083333333,0.234567901,0.077160494
PSdust LR,0.231884058,0.304347826,0.043478261,0.028985507,0.101449275,0.202898551,0.086956522
PSdust MR,0.340425532,0.276595745,0.042553191,0.042553191,0.063829787,0.085106383,0.14893617
MilkP HR,0.333333333,0.25,0.083333333,0,0,0.25,0.083333333
MilkP KR,0.171026157,0.23943662,0.09054326,0.108651911,0.072434608,0.237424547,0.080482897
MilkP NR,0.210526316,0.280701754,0.149122807,0.035087719,0.052631579,0.210526316,0.061403509
MilkP LR,0.194029851,0.328358209,0.044776119,0.044776119,0.089552239,0.179104478,0.119402985
MilkP MR,0.361111111,0.194444444,0,0.027777778,0.111111111,0.25,0.055555556
MilkC HR,0.243243243,0.27027027,0.081081081,0.027027027,0.108108108,0.189189189,0.081081081
MilkC KR,0.183333333,0.225,0.086111111,0.116666667,0.080555556,0.213888889,0.094444444
MilkC NR,0.198473282,0.267175573,0.091603053,0.061068702,0.083969466,0.259541985,0.038167939
MilkC LR,0.225,0.3,0.1,0.05,0.033333333,0.191666667,0.1
MilkC MR,0.141025641,0.269230769,0.102564103,0.064102564,0.051282051,0.320512821,0.051282051
curd LR,0.137931034,0.275862069,0.068965517,0.172413793,0.137931034,0.137931034,0.068965517
curd KR,0.188405797,0.244766506,0.086956522,0.090177134,0.072463768,0.239935588,0.077294686
curd MR,0.2,0.4,0.2,0,0.2,0,0
curd NR,0.242424242,0.287878788,0.121212121,0.015151515,0.015151515,0.196969697,0.121212121
coffee HR,0.214285714,0.357142857,0.142857143,0.071428571,0.071428571,0.071428571,0.071428571
coffee KR,0.207017544,0.235087719,0.070175439,0.147368421,0.063157895,0.214035088,0.063157895
coffee NR,0.21031746,0.246031746,0.107142857,0.03968254,0.079365079,0.242063492,0.075396825
coffee LR,0.121495327,0.271028037,0.112149533,0.046728972,0.056074766,0.252336449,0.140186916
coffee MR,0.161764706,0.294117647,0.073529412,0.058823529,0.102941176,0.235294118,0.073529412
tea HR,0.19047619,0.476190476,0.142857143,0.047619048,0.047619048,0.047619048,0.047619048
tea KR,0.163380282,0.228169014,0.098591549,0.132394366,0.05915493,0.247887324,0.070422535
tea NR,0.251121076,0.246636771,0.089686099,0.035874439,0.071748879,0.219730942,0.085201794
tea LR,0.153846154,0.276923077,0.076923077,0.015384615,0.123076923,0.261538462,0.092307692
tea MR,0.177419355,0.306451613,0.048387097,0.080645161,0.096774194,0.177419355,0.112903226
beef HR,0.125,0.3125,0.125,0.1875,0.0625,0.1875,0
beef KR,0.2,0.245833333,0.083333333,0.170833333,0.045833333,0.175,0.079166667
beef NR,0.190322581,0.238709677,0.106451613,0.038709677,0.080645161,0.267741935,0.077419355
beef LR,0.184782609,0.304347826,0.054347826,0.054347826,0.086956522,0.22826087,0.086956522
beef MR,0.191176471,0.25,0.088235294,0.014705882,0.102941176,0.25,0.102941176
chicken HR,0.333333333,0.333333333,0,0,0,0,0.333333333
chicken KR,0.195488722,0.236842105,0.082706767,0.165413534,0.056390977,0.19924812,0.063909774
chicken NR,0.178438662,0.24535316,0.100371747,0.029739777,0.07063197,0.308550186,0.066914498
chicken LR,0.21875,0.265625,0.078125,0.03125,0.1171875,0.171875,0.1171875
chicken MR,0.166666667,0.316666667,0.116666667,0.1,0.05,0.133333333,0.116666667
mutton HR,0,0.5,0,0,0,0.5,0
mutton KR,0.1966759,0.232686981,0.083102493,0.132963989,0.069252078,0.221606648,0.063711911
mutton NR,0.203703704,0.248148148,0.103703704,0.033333333,0.077777778,0.240740741,0.092592593
mutton LR,0.149253731,0.313432836,0.104477612,0.074626866,0.029850746,0.223880597,0.104477612
mutton MR,0.115384615,0.384615385,0.038461538,0,0.153846154,0.192307692,0.115384615
egg HR,0.277777778,0.111111111,0.055555556,0,0.222222222,0.277777778,0.055555556
egg KR,0.201581028,0.241106719,0.083003953,0.114624506,0.061264822,0.223320158,0.075098814
egg NR,0.166666667,0.296296296,0.074074074,0,0.074074074,0.287037037,0.101851852
egg LR,0.209677419,0.322580645,0.096774194,0.032258065,0.064516129,0.177419355,0.096774194
egg MR,0.03125,0.21875,0.28125,0.0625,0.15625,0.1875,0.0625
fishA HR,0.166666667,0.375,0.083333333,0,0.041666667,0.166666667,0.166666667
fishA KR,0.203296703,0.225274725,0.087912088,0.142857143,0.063186813,0.206043956,0.071428571
fishA NR,0.185022026,0.259911894,0.083700441,0.030837004,0.088105727,0.273127753,0.079295154
fishA LR,0.179104478,0.298507463,0.089552239,0.029850746,0.059701493,0.223880597,0.119402985
fishA MR,0.159090909,0.295454545,0.159090909,0.022727273,0.090909091,0.227272727,0.045454545
