A/C,RH,UT_O,OT,UT,RH_UT,RH_O,NORMAL
housedust LR,0.234042553,0.117021277,0.14893617,0.340425532,0.031914894,0.063829787,0.063829787
housedust HR,0.22761194,0.078358209,0.149253731,0.291044776,0.104477612,0.100746269,0.048507463
housedust MR,0.206405694,0.06405694,0.103202847,0.384341637,0.074733096,0.09252669,0.074733096
housedust NR,0.12345679,0.024691358,0.209876543,0.419753086,0.074074074,0.086419753,0.061728395
cottondust KR,0.5,0,0,0.5,0,0,0
cottondust MR,0.210116732,0.050583658,0.155642023,0.326848249,0.097276265,0.101167315,0.058365759
cottondust LR,0.197183099,0.077464789,0.098591549,0.394366197,0.070422535,0.070422535,0.091549296
cottondust HR,0.161016949,0.144067797,0.101694915,0.338983051,0.118644068,0.076271186,0.059322034
cottondust NR,0.23902439,0.053658537,0.165853659,0.346341463,0.043902439,0.102439024,0.048780488
aspergilus KR,0.428571429,0.142857143,0.142857143,0.142857143,0,0,0.142857143
aspergilus MR,0.22907489,0.074889868,0.105726872,0.325991189,0.118942731,0.079295154,0.066079295
aspergilus LR,0.188405797,0.072463768,0.144927536,0.420289855,0.043478261,0.072463768,0.057971014
aspergilus HR,0.203947368,0.059210526,0.203947368,0.282894737,0.092105263,0.111842105,0.046052632
aspergilus NR,0.195,0.075,0.12,0.38,0.055,0.105,0.07
pollen KR,0.25,0,0.5,0,0.25,0,0
pollen MR,0.183279743,0.067524116,0.147909968,0.379421222,0.073954984,0.08681672,0.061093248
pollen LR,0.291262136,0.077669903,0.048543689,0.359223301,0.048543689,0.087378641,0.087378641
pollen HR,0.198412698,0.083333333,0.134920635,0.313492063,0.111111111,0.103174603,0.055555556
pollen NR,0.240740741,0.037037037,0.240740741,0.333333333,0.018518519,0.074074074,0.055555556
parthenium KR,0,0,1,0,0,0,0
parthenium MR,0.224334601,0.076045627,0.117870722,0.365019011,0.060836502,0.098859316,0.057034221
parthenium LR,0.267857143,0.035714286,0.160714286,0.321428571,0.071428571,0.035714286,0.107142857
parthenium HR,0.191891892,0.072972973,0.145945946,0.343243243,0.094594595,0.089189189,0.062162162
parthenium NR,0.181818182,0.090909091,0.121212121,0.333333333,0.090909091,0.151515152,0.03030303
cockroach KR,0.333333333,0,0.333333333,0.333333333,0,0,0
cockroach MR,0.247826087,0.060869565,0.156521739,0.356521739,0.060869565,0.073913043,0.043478261
cockroach LR,0.172839506,0.061728395,0.160493827,0.358024691,0.12345679,0.098765432,0.024691358
cockroach HR,0.195266272,0.076923077,0.112426036,0.331360947,0.094674556,0.097633136,0.091715976
cockroach NR,0.173913043,0.101449275,0.15942029,0.391304348,0.028985507,0.115942029,0.028985507
cat dander KR,0.213751868,0.070254111,0.140508221,0.346786248,0.077727952,0.08819133,0.062780269
cat dander MR,0.2,0,0,0.6,0.2,0,0
cat dander LR,0.1,0,0.3,0.3,0.2,0.1,0
cat dander HR,0,0,0,0.666666667,0,0.333333333,0
cat dander NR,0.162162162,0.135135135,0.081081081,0.324324324,0.081081081,0.135135135,0.081081081
dos fur KR,0.215189873,0.068037975,0.139240506,0.35443038,0.07278481,0.087025316,0.063291139
dos fur MR,0.12,0.04,0.16,0.36,0.08,0.2,0.04
dos fur LR,0.1875,0.1875,0.0625,0.1875,0.1875,0.125,0.0625
dos fur HR,0,0.142857143,0.142857143,0.285714286,0.285714286,0,0.142857143
dos fur NR,0.214285714,0.035714286,0.178571429,0.392857143,0.071428571,0.071428571,0.035714286
Milk(P) KR,0.175,0.1125,0.075,0.1875,0.05,0.1,0.3
Milk(P) MR,0.261904762,0.095238095,0.095238095,0.357142857,0.071428571,0.119047619,0
Milk(P) LR,0.154929577,0.084507042,0.112676056,0.394366197,0.084507042,0.098591549,0.070422535
Milk(P) HR,0,0,0,0.8,0,0.2,0
Milk(P) NR,0.218631179,0.062737643,0.155893536,0.36121673,0.085551331,0.085551331,0.030418251
Milk( C ) KR,0.218897638,0.069291339,0.137007874,0.337007874,0.078740157,0.091338583,0.067716535
Milk( C ) MR,0,0,0,0.285714286,0.285714286,0.428571429,0
Milk( C ) LR,0.045454545,0.090909091,0.181818182,0.5,0.045454545,0.090909091,0.045454545
Milk( C ) HR,0,0,0.25,0.5,0.25,0,0
Milk( C ) NR,0.196428571,0.107142857,0.142857143,0.410714286,0.071428571,0.053571429,0.017857143
curd KR,0.236162362,0.055350554,0.125461255,0.32103321,0.070110701,0.095940959,0.095940959
curd MR,0.085106383,0.063829787,0.255319149,0.382978723,0.14893617,0.042553191,0.021276596
curd LR,0.164383562,0.095890411,0.136986301,0.452054795,0.082191781,0.04109589,0.02739726
curd HR,0.375,0,0,0.375,0.125,0.125,0
curd NR,0.209230769,0.083076923,0.135384615,0.341538462,0.076923077,0.104615385,0.049230769
coffee KR,0.216161616,0.072727273,0.123232323,0.335353535,0.080808081,0.090909091,0.080808081
coffee MR,0.243243243,0.108108108,0.243243243,0.324324324,0.054054054,0,0.027027027
coffee LR,0.149253731,0.089552239,0.134328358,0.432835821,0.119402985,0.044776119,0.029850746
coffee HR,0.272727273,0,0.272727273,0.272727273,0.090909091,0.090909091,0
